timestamp,action,element,description,status,url
2025-12-03T17:54:50.101Z,visit,page,visited main page,success,https://try123.labellerr.com/__cypress/iframes/cypress%5Ce2e%5Cworkspace-test.cy.js?browserFamily=chromium
2025-12-03T17:55:23.791Z,login,auth0,successfully logged in,success,https://try123.labellerr.com/__cypress/iframes/cypress%5Ce2e%5Cworkspace-test.cy.js?browserFamily=chromium
2025-12-03T17:55:23.792Z,assertion,url,verify workspace URL,success,https://try123.labellerr.com/__cypress/iframes/cypress%5Ce2e%5Cworkspace-test.cy.js?browserFamily=chromium
2025-12-03T17:55:23.792Z,assertion,body,verify page loaded,success,https://try123.labellerr.com/__cypress/iframes/cypress%5Ce2e%5Cworkspace-test.cy.js?browserFamily=chromium
