timestamp,action,element,description,status,url
2025-11-30T12:46:54.074Z,visit,page,visited workspace,success,https://try123.labellerr.com/__cypress/iframes/cypress%2Fe2e%2Fworkspace-test.cy.js?browserFamily=chromium
2025-11-30T12:46:57.251Z,assertion,url,check if URL contains workspace,success,https://try123.labellerr.com/__cypress/iframes/cypress%2Fe2e%2Fworkspace-test.cy.js?browserFamily=chromium
2025-11-30T12:46:57.251Z,assertion,body,check body visibility,success,https://try123.labellerr.com/__cypress/iframes/cypress%2Fe2e%2Fworkspace-test.cy.js?browserFamily=chromium
2025-11-30T12:46:57.251Z,assertion,Projects,check Projects visibility,success,https://try123.labellerr.com/__cypress/iframes/cypress%2Fe2e%2Fworkspace-test.cy.js?browserFamily=chromium
2025-11-30T12:46:57.252Z,assertion,Datasets,check Datasets visibility,success,https://try123.labellerr.com/__cypress/iframes/cypress%2Fe2e%2Fworkspace-test.cy.js?browserFamily=chromium
2025-11-30T12:46:57.252Z,assertion,Models,check Models visibility,success,https://try123.labellerr.com/__cypress/iframes/cypress%2Fe2e%2Fworkspace-test.cy.js?browserFamily=chromium
2025-11-30T12:46:57.252Z,assertion,Settings,check Settings visibility,success,https://try123.labellerr.com/__cypress/iframes/cypress%2Fe2e%2Fworkspace-test.cy.js?browserFamily=chromium
2025-11-30T12:46:57.252Z,click,Projects,navigate to projects,success,https://try123.labellerr.com/__cypress/iframes/cypress%2Fe2e%2Fworkspace-test.cy.js?browserFamily=chromium
2025-11-30T12:46:57.253Z,click,Datasets,navigate to datasets,success,https://try123.labellerr.com/__cypress/iframes/cypress%2Fe2e%2Fworkspace-test.cy.js?browserFamily=chromium
