timestamp,action,element,description,status,url
2025-12-03T17:34:53.792Z,visit,page,visited main page,success,https://try123.labellerr.com/__cypress/iframes/cypress%5Ce2e%5Cworkspace-test.cy.js?browserFamily=chromium
2025-12-03T17:35:03.622Z,login,auth0,successfully logged in,success,https://try123.labellerr.com/__cypress/iframes/cypress%5Ce2e%5Cworkspace-test.cy.js?browserFamily=chromium
2025-12-03T17:35:03.623Z,assertion,url,verify workspace URL,success,https://try123.labellerr.com/__cypress/iframes/cypress%5Ce2e%5Cworkspace-test.cy.js?browserFamily=chromium
2025-12-03T17:35:03.625Z,assertion,body,verify page loaded,success,https://try123.labellerr.com/__cypress/iframes/cypress%5Ce2e%5Cworkspace-test.cy.js?browserFamily=chromium
