timestamp,action,element,description,status,url
2025-12-03T18:06:35.490Z,visit,page,visited main page,success,https://try123.labellerr.com/__cypress/iframes/cypress%5Ce2e%5Cworkspace-test.cy.js?browserFamily=chromium
2025-12-03T18:06:45.641Z,login,auth0,successfully logged in,success,https://try123.labellerr.com/__cypress/iframes/cypress%5Ce2e%5Cworkspace-test.cy.js?browserFamily=chromium
2025-12-03T18:06:45.641Z,assertion,url,verify workspace URL,success,https://try123.labellerr.com/__cypress/iframes/cypress%5Ce2e%5Cworkspace-test.cy.js?browserFamily=chromium
2025-12-03T18:06:45.642Z,assertion,body,verify page loaded,success,https://try123.labellerr.com/__cypress/iframes/cypress%5Ce2e%5Cworkspace-test.cy.js?browserFamily=chromium
